Rank,Feature_Index,Feature_Name,Importance_Score,Importance_Percentage,Cumulative_Percentage
1,23,HomeImprovementDIY,0.051399959574879,5.14,5.14
2,16,AutoWork,0.05028051102868254,5.03,10.17
3,15,Photography,0.04898408730347917,4.9,15.07
4,19,HuntingShooting,0.04829662399800162,4.83,19.9
5,9,CatOwner,0.04579299347553129,4.58,24.48
6,29,EducationOnline,0.044443640232009564,4.44,28.92
7,14,MovieCollector,0.0441056918036333,4.41,33.33
8,18,CampingHiking,0.04401855137780938,4.4,37.73
9,6,MaritalStatus,0.04394112738469122,4.39,42.12
10,12,SelfImprovement,0.04054660574846733,4.05,46.17
11,20,Gardening,0.038352914400610345,3.84,50.01
12,17,Fishing,0.0379907822031761,3.8,53.81
13,21,EnvironmentalIssues,0.036544922920251965,3.65,57.46
14,22,HomeImprovement,0.03565185758238098,3.57,61.03
15,2,Health,0.03489626292109115,3.49,64.52
16,3,Political,0.034438422613949415,3.44,67.96
17,4,Religious,0.03142696940051728,3.14,71.1
18,24,OutdoorsGrouping,0.031035783598703254,3.1,74.2
19,5,Veteran,0.03093929846204289,3.09,77.29
20,13,MusicCollector,0.027505519011165998,2.75,80.04
21,7,SingleParent,0.027196284730427612,2.72,82.76
22,8,GrandChildren,0.02694111894547482,2.69,85.45
23,1,Charitable,0.026534913104691252,2.65,88.1
24,26,BeautyCosmetics,0.024319890634959547,2.43,90.53
25,10,DogOwner,0.024042564444799977,2.4,92.93
26,25,InvestmentsForeign,0.023438671712503207,2.34,95.27
27,27,TVCable,0.015119186359950422,1.51,96.78
28,28,WirelessCellularPhoneOwner,0.011717131835578246,1.17,97.95
29,0,OwnerRenter,0.010242912870793121,1.02,98.97
30,11,CreditCardUser,0.009854800319747888,0.99,99.96
